interaccion_id,cliente_id,canal_id,fecha_id,motivo,resuelto_1ra,duracion_seg,agente_id,escalado
1,378,1,20250604,Consulta saldo,1,134,44,0
2,48,2,20250629,Consulta saldo,1,253,15,0
3,280,1,20250520,Transferencias,1,459,15,0
4,82,1,20250419,Crédito,0,744,28,1
5,50,4,20250207,Consulta saldo,1,397,23,0
6,499,3,20250509,Transferencias,1,417,6,0
7,296,3,20250510,Inversiones,1,226,46,0
8,438,2,20250102,Reclamo,0,268,7,1
9,344,3,20250421,Bloqueo tarjeta,1,303,45,0
10,126,1,20250621,Transferencias,1,197,30,0
11,351,4,20250409,Transferencias,1,362,50,0
12,34,3,20250108,Bloqueo tarjeta,0,246,37,0
13,235,2,20250307,Inversiones,1,176,17,0
14,220,3,20250208,Crédito,1,627,26,0
15,387,4,20250308,Bloqueo tarjeta,1,78,8,0
16,198,1,20250221,Transferencias,1,420,39,0
17,349,1,20250417,Cuenta nueva,1,768,8,0
18,58,2,20250629,Transferencias,1,330,28,0
19,498,1,20250215,Crédito,1,542,49,0
20,328,4,20250217,Consulta saldo,0,549,39,1
21,471,1,20250325,Cuenta nueva,0,30,39,1
22,158,4,20250104,Crédito,0,275,4,1
23,390,1,20250531,Crédito,1,575,50,0
24,271,2,20250205,Consulta saldo,0,651,28,0
25,344,3,20250525,Bloqueo tarjeta,1,695,24,0
26,174,2,20250429,Consulta saldo,1,51,38,0
27,31,2,20250508,Transferencias,1,264,5,0
28,249,1,20250128,Consulta saldo,1,249,35,0
29,402,4,20250224,Bloqueo tarjeta,1,514,27,0
30,240,1,20250204,Bloqueo tarjeta,1,776,4,0
31,174,4,20250621,Bloqueo tarjeta,1,849,7,0
32,143,1,20250207,Bloqueo tarjeta,1,503,16,0
33,334,3,20250115,Consulta saldo,0,583,1,0
34,463,2,20250206,Inversiones,1,90,11,0
35,233,4,20250401,Crédito,1,322,28,0
36,80,4,20250624,Crédito,1,224,19,0
37,30,2,20250202,Crédito,1,81,38,0
38,261,4,20250417,Consulta saldo,1,112,12,0
39,483,1,20250120,Bloqueo tarjeta,0,613,16,0
40,162,1,20250120,Transferencias,1,297,14,0
41,331,1,20250623,Consulta saldo,1,337,30,0
42,289,3,20250330,Bloqueo tarjeta,1,132,5,0
43,36,2,20250507,Bloqueo tarjeta,1,280,24,0
44,414,2,20250306,Consulta saldo,1,699,34,0
45,481,3,20250122,Transferencias,1,167,17,0
46,310,1,20250129,Consulta saldo,1,245,46,0
47,129,3,20250307,Bloqueo tarjeta,0,896,4,1
48,327,1,20250427,Crédito,1,298,11,0
49,39,2,20250615,Consulta saldo,1,737,10,0
50,66,3,20250502,Consulta saldo,1,72,20,0
51,184,4,20250329,Consulta saldo,0,245,44,1
52,318,3,20250112,Bloqueo tarjeta,0,797,10,0
