encuesta_id,cliente_id,canal_id,fecha_id,score_nps,categoria,comentario,producto,fecha_envio
1,380,1,20250101,9,Promotor,Necesito más sucursales,Tarjeta crédito,2025-01-01T09:43:00
2,217,1,20250119,9,Promotor,Tardaron mucho,Tarjeta crédito,2025-01-19T11:32:00
3,102,3,20250118,9,Promotor,Mejorar tiempos,Tarjeta crédito,2025-01-18T15:37:00
4,446,1,20250126,10,Promotor,Excelente app,CDT,2025-01-26T13:17:00
5,491,3,20250107,9,Promotor,Tardaron mucho,Cuenta corriente,2025-01-07T14:06:00
6,177,2,20250128,10,Promotor,Muy buena atención,CDT,2025-01-28T16:07:00
7,283,1,20250103,10,Promotor,Muy fácil de usar,Nómina,2025-01-03T11:45:00
8,339,1,20250102,9,Promotor,Sin comentario,Cuenta corriente,2025-01-02T11:55:00
9,143,2,20250113,9,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-13T13:22:00
10,137,3,20250122,9,Promotor,Tardaron mucho,Nómina,2025-01-22T18:10:00
11,237,1,20250106,9,Promotor,Necesito más sucursales,Préstamo personal,2025-01-06T08:14:00
12,162,2,20250126,9,Promotor,Tardaron mucho,Tarjeta crédito,2025-01-26T17:56:00
13,336,2,20250107,10,Promotor,Perfecto,Tarjeta crédito,2025-01-07T12:08:00
14,288,2,20250124,9,Promotor,Mejorar tiempos,Nómina,2025-01-24T14:23:00
15,261,2,20250105,9,Promotor,Muy buena atención,Cuenta corriente,2025-01-05T10:40:00
16,349,2,20250126,9,Promotor,Tardaron mucho,CDT,2025-01-26T14:38:00
17,129,4,20250117,10,Promotor,Muy buena atención,Cuenta corriente,2025-01-17T18:56:00
18,329,1,20250125,10,Promotor,Sin comentario,CDT,2025-01-25T10:29:00
19,370,4,20250131,9,Promotor,Sin comentario,Nómina,2025-01-31T10:32:00
20,321,1,20250128,9,Promotor,Necesito más sucursales,Tarjeta crédito,2025-01-28T13:48:00
21,489,3,20250118,9,Promotor,Muy buena atención,Nómina,2025-01-18T13:31:00
22,476,1,20250104,9,Promotor,Sin comentario,Tarjeta crédito,2025-01-04T08:15:00
23,375,2,20250103,9,Promotor,Tardaron mucho,Nómina,2025-01-03T10:08:00
24,282,1,20250131,10,Promotor,Mejorar tiempos,Tarjeta crédito,2025-01-31T16:48:00
25,160,2,20250123,9,Promotor,Muy fácil de usar,CDT,2025-01-23T16:28:00
26,116,1,20250108,9,Promotor,Muy buena atención,Nómina,2025-01-08T16:14:00
27,37,3,20250101,9,Promotor,Muy buena atención,Tarjeta crédito,2025-01-01T09:57:00
